Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1664959676.9869707,2574,1664959676,974539702,Waveshare_Sense_HAT_B/IMU,-0.7720806301617564,-0.6354606736920928,0.008443032126660623,0.0031540336594602686,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.010652644360316951,0.0026631610900792377,0.00985369603329318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16645385742187502,-0.3879931640625,10.00399658203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959676.9990766,2575,1664959676,986727491,Waveshare_Sense_HAT_B/IMU,-0.7721084252221924,-0.6354266967105484,0.008454528253290097,0.003164452628977801,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0077231671612297895,-0.0026631610900792377,0.0042610577441267805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16046630859375,-0.3496728515625,9.98244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959677.0111406,2576,1664959676,998896409,Waveshare_Sense_HAT_B/IMU,-0.772152981171049,-0.6353719671345966,0.008490310946545334,0.0031861682638566133,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0053263221801584755,-0.0055926382891664,0.008522115488253561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1389111328125,-0.38200561523437504,9.981243896484376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959677.02326,2577,1664959677,11004940,Waveshare_Sense_HAT_B/IMU,-0.7722043166048942,-0.6353099904643333,0.008460223306266591,0.0031834029881611754,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.013049489341388266,0.0002663161090079238,0.010386328251309028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.130528564453125,-0.34248779296875004,9.97525634765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959677.0353692,2578,1664959677,23112526,Waveshare_Sense_HAT_B/IMU,-0.7722832192087539,-0.6352142301240311,0.0084379681520781,0.0032112100465278982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.007989483270237713,0.002396844981071314,0.01757686319452297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118553466796875,-0.335302734375,9.980046386718751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959677.047521,2579,1664959677,35216205,Waveshare_Sense_HAT_B/IMU,-0.7723035625791352,-0.6351901608749434,0.008392907123337153,0.0031977906839612594,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.014913702104443732,0.002396844981071314,0.0034621094171030094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12094848632812501,-0.3305126953125,9.96567626953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959677.0596588,2580,1664959677,47370679,Waveshare_Sense_HAT_B/IMU,-0.7723244396277137,-0.6351650172921204,0.008379303857202815,0.0031855971036560634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0111852765783328,-0.0007989483270237714,0.0034621094171030094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140108642578125,-0.319735107421875,9.980046386718751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959677.0717494,2581,1664959677,59494302,Waveshare_Sense_HAT_B/IMU,-0.7723649235121612,-0.635116238471023,0.008349875696117006,0.0031730323558401235,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.012516857123372417,0.0015978966540475428,0.007989483270237713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16525634765625,-0.30895751953125,9.992021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959677.0838451,2582,1664959677,71599684,Waveshare_Sense_HAT_B/IMU,-0.7723629404096412,-0.6351185422607332,0.008368889402066015,0.0031443995532161534,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.010120012142301104,-0.004527373853134705,-0.0031957933080950856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22153930664062502,-0.31255004882812504,9.98962646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959677.0961158,2583,1664959677,83699011,Waveshare_Sense_HAT_B/IMU,-0.7723623107510403,-0.635119237489649,0.008385691939564593,0.0031137232655990828,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.012250541014364494,-0.0042610577441267805,-0.0029294771990871615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.229921875,-0.34727783203125,9.990823974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
